check,check_name,severity,package,state_before,state_after,evidence_before
C4,Undeclared connector data provenance,BLOCK,unclosed-review-thread-backlog-ownership-split,FAIL,PASS,"{""files_edited"": {""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""previous_sha256"": ""a05441ecce9e2a4391296ae17d78150c7ce10888e6393255008cebd7ff1e38ea"", ""rele"
C4,Undeclared connector data provenance,BLOCK,urgent-label-inflation-2027-audit,FAIL,PASS,"{""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C5,Package identity mismatch,BLOCK,drive-version-history-retention-review,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-veeecron"", ""previous_sha256"": ""b4986ccfe8ee714d40cd89ab826395edfb5cf9427cd1473c2f613fb6d3a00455"", ""released_sha256"": ""774b2"
C5,Package identity mismatch,BLOCK,fin-f22-hedge-effectiveness,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-hhi2tqec"", ""previous_sha256"": ""8ee9c1f965886e12af1c85ec9a4906098750e75deed626353137a0f116323204"", ""released_sha256"": ""75bf9"
C5,Package identity mismatch,BLOCK,founding-month-thread-first-answer-credit,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-zq647anl"", ""previous_sha256"": ""a821ee3758f5308e82099094b61391040e7aa3ec29434dfa36eb3e1d1a2ef0c3"", ""released_sha256"": ""116e9"
C5,Package identity mismatch,BLOCK,gen-g469-thesis-terminology-compliance-audit-m-v2,FAIL,PASS,"{""renamed_to"": ""gen-g469-thesis-terminology-compliance-audit"", ""previous_sha256"": ""ba7fb7ddcb4bc768c5951d891806ed40a3431050832b03a706ca654428bffbe0"", ""released_"
C5,Package identity mismatch,BLOCK,gen-g59-accreditation-compliance-recompute,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-6uzepc5h"", ""previous_sha256"": ""2c6f4d6bf66d976ab0a9206ff065d717ce9001a78fa48193a506a216f2ef7d51"", ""released_sha256"": ""2b233"
C5,Package identity mismatch,BLOCK,gen-g794-lecture-transcript-slide-crossref-audit-hard,FAIL,PASS,"{""renamed_to"": ""gen-g794-lecture-transcript-slide-crossref-audit"", ""previous_sha256"": ""9af6a8fd71899cdea1177f034b68ea2fe9a9b27e7bfbd3b86946145462b42349"", ""relea"
C5,Package identity mismatch,BLOCK,gen-g842-attorney-ad-compliance-audit,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-gmt6efqk"", ""previous_sha256"": ""6d53e582e80f72c1caac617c76f9352d6571d3a3998fba0b0f7e7f14dc064c72"", ""released_sha256"": ""f003c"
C5,Package identity mismatch,BLOCK,gen-g861-sync-license-exclusivity-hold-audit,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-2ppskyfa"", ""previous_sha256"": ""67a2fdc00bb169931a3452a463d4b8c7c139676208830fe7b5b5022a2c0ea6d6"", ""released_sha256"": ""02b98"
